"id","item","texteffect","chislo"
"1","crossbow_m01slots","BLANK_NO_EFFECTS",""
"2","crossbow_m02slots","BLANK_NO_EFFECTS",""
"3","crossbow_m03slots","BLANK_NO_EFFECTS",""
"4","crossbow_m04slots","BLANK_NO_EFFECTS",""
"5","crossbow_m04_set_falcon","4% increase in the amount of gold found","4"
"6","crossbow_m04_set_falcon","+1m to Bow, Crossbow, Pistol and Wand range","1"
"7","crossbow_m04_set_falcon","6% chance to Stun target for 5 sec.","6"
"8","crossbow_m05slots","BLANK_NO_EFFECTS",""
"9","crossbow_m06slots","BLANK_NO_EFFECTS",""
"10","crossbow_m07slots","BLANK_NO_EFFECTS",""
"11","crossbow_m08slots","BLANK_NO_EFFECTS",""
"12","crossbow_u01","+22 Physical Damage","22"
"13","crossbow_u01","3 Health stolen on hit","3"
"14","crossbow_u01","1 Mana stolen on hit","1"
"15","crossbow_u01","+10% pet and minion Damage","10"
"16","crossbow_u01b","+5% Attack Speed","5"
"17","crossbow_u01b","+15% Cast Speed","15"
"18","crossbow_u01b","+2% Critical Hit Chance","2"
"19","crossbow_u01b","+10% to Fire Damage","10"
"20","crossbow_u01c"," Augmented Weapon:     ",""
"21","crossbow_u01c"," Kill 20 Goblins to Upgrade ","20"
"22","crossbow_u01c","+15% to Fire Damage","15"
"23","crossbow_u01c","10% chance to cast Fire Storm from target","10"
"24","crossbow_u01c","------------------",""
"25","crossbow_u01c","10% chance that target Flees for 3 sec.","10"
"26","crossbow_u01c","+5% to Poison Damage","5"
"27","crossbow_u01c","45 Physical Damage over 5 sec.","45"
"28","crossbow_u02","62 Health stolen on hit","62"
"29","crossbow_u02","+27 Health","27"
"30","crossbow_u02","+4 Mana","4"
"31","crossbow_u02b","+12% Attack Speed","12"
"32","crossbow_u02b","20% chance to Burn for 5 sec.","20"
"33","crossbow_u02b","+2m to Bow, Crossbow, Pistol and Wand range","2"
"34","crossbow_u02c","+2% Critical Hit Chance","2"
"35","crossbow_u02c","+10 Physical Damage","10"
