pak_offset	unc	path
1320946	4575	MEDIA/BOSSMUSIC.LAYOUT
1322387	213	MEDIA/BOSSNAME.LAYOUT
1433503	27990	MEDIA/DWARFTEST.LAYOUT
1436601	125382	MEDIA/EFFECTSLIST.DAT
1455298	11114	MEDIA/FEATURETAGS.HIE
1458971	53952	MEDIA/GLOBALS.DAT
273659040	66408	MEDIA/MINETEST.LAYOUT
450002606	18320	MEDIA/PARTICLEBACKGROUNDCATACOMBS.LAYOUT
450005740	9362	MEDIA/PARTICLEBACKGROUNDROOMDESERT.LAYOUT
450008212	15227	MEDIA/PARTICLEBACKGROUNDROOMOUTSIDE.LAYOUT
450012701	11210	MEDIA/PARTICLEBACKGROUNDROOMOUTSIDEPOND.LAYOUT
450014700	9646	MEDIA/PARTICLEBACKGROUNDROOMWOODS.LAYOUT
450017312	26189	MEDIA/PARTICLEBACKGROUNDROOMWOODS_SWAMP.LAYOUT
450024209	20057	MEDIA/PARTICLEBACKGROUNDROOM_DRAGON.LAYOUT
450027269	115337	MEDIA/PARTICLEBACKGROUNDROOM_DWARF.LAYOUT
450050872	16068	MEDIA/PARTICLEBACKGROUNDROOM_ESCAVE.LAYOUT
450053971	5502	MEDIA/PARTICLEBACKGROUNDROOM_GENERICCAVE.LAYOUT
450055125	9491	MEDIA/PARTICLEBACKGROUNDROOM_ICECAVE.LAYOUT
450057668	21022	MEDIA/PARTICLEBACKGROUNDROOM_VAULT.LAYOUT
450061986	18267	MEDIA/PARTICLEBACKGROUNDROOM_WATER.LAYOUT
489154103	9818	MEDIA/RANDOMNAMES.DAT
489184042	24574	MEDIA/SHADOWS.PNG
489206434	303	MEDIA/SHADOW_HALF_01.MATERIAL
489206610	387	MEDIA/SHADOW_HALF_01.MESH
685953895	202130	MEDIA/TAGS.DAT
686019763	962	MEDIA/TESTROOM.LAYOUT
831564299	4072	MEDIA/UNITTHEMES.DAT
831581574	44848	MEDIA/UNITTYPES.HIE
868767408	752006	MEDIA/AFFIXES.RAW
868815383	38936	MEDIA/TRIGGERABLES.RAW
868818070	50725	MEDIA/MISSILES.RAW
868823776	1414373	MEDIA/UNITDATA.RAW
869001506	38128	MEDIA/ROOMPIECES.RAW
869033902	15107	MEDIA/UI.RAW
869036318	237288	MEDIA/SKILLS.RAW
8	1572	MEDIA/AFFIXES/CHAMPIONAFFIXES/BOSS_RESISTS.DAT
487	306	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPGLOW.DAT
708	1348	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONCOLD.DAT
1219	552	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONDOUBLEDAMAGE.DAT
1563	708	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONEXPLODEONDEATH.DAT
1951	430	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONHAUNTED.DAT
2236	532	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONHEALAURA.DAT
2554	686	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONNOXIOUS.DAT
2931	408	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONRANDOMTELEPORT.DAT
3209	410	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONRANDOMTELEPORTONSTRUCK.DAT
3488	858	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONRESISTAURA.DAT
3849	962	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONSHOCKING.DAT
4346	884	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONSLOWAURA.DAT
4730	642	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONSPAWNCHAMP.DAT
5120	856	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONSPEEDAURA.DAT
5517	444	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPIONTELEPORTER.DAT
5826	504	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPION_HEALTH_REGEN.DAT
6170	132	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMPSKILLS.DAT
6275	1236	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_BARRIER_ELECTRIC.DAT
6815	1182	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_BARRIER_FIRE.DAT
7339	1178	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_BARRIER_ICE.DAT
7865	1214	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_BARRIER_POISON.DAT
8402	1438	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_RESISTS.DAT
8837	1312	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_RESISTS_HALFSTRENGTH.DAT
9266	894	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_SHIELD_ELECTRIC.DAT
9714	862	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_SHIELD_FIRE.DAT
10162	860	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_SHIELD_ICE.DAT
10609	888	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_SHIELD_PHYSICAL.DAT
11052	876	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_SHIELD_POISON.DAT
11492	914	MEDIA/AFFIXES/CHAMPIONAFFIXES/CHAMP_SHIELD_REFLECT.DAT
11953	702	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTELECTRICITY.DAT
12359	508	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTELECTRICITYPLAYER.DAT
12685	792	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTFROZEN.DAT
13091	644	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTFROZENPLAYER.DAT
13427	636	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTONFIRE.DAT
13824	486	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTONFIREPLAYER.DAT
14142	646	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTONFIRE_BANDITHUTS.DAT
14536	752	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTPOISONED.DAT
14947	598	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/DAMAGEEFFECTPOISONEDPLAYER.DAT
15286	436	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/GENIEARENADAMAGE.DAT
15601	366	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/PHASEBEAST_COLD_DAMAGEPLAYER.DAT
15850	902	MEDIA/AFFIXES/DAMAGEEFFECTAFFIXES/PHASEBEAST_DAMAGEEFFECTCOLDPLAYER.DAT
16274	326	MEDIA/AFFIXES/GEMS/GEM_AMETHYST.DAT
16502	372	MEDIA/AFFIXES/GEMS/GEM_AMETHYST_ARMOR.DAT
16753	440	MEDIA/AFFIXES/GEMS/GEM_BLOODEMBER_ARMOR_HEALTH.DAT
17024	476	MEDIA/AFFIXES/GEMS/GEM_BLOODEMBER_ARMOR_HEALTH_REGEN.DAT
17316	520	MEDIA/AFFIXES/GEMS/GEM_BLOODEMBER_WEAPON_BLEED.DAT
17634	444	MEDIA/AFFIXES/GEMS/GEM_BLOODEMBER_WEAPON_LIFESTEAL.DAT
17906	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_DODGE.DAT
18181	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_DODGE2.DAT
18459	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_DODGE3.DAT
18738	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_DODGE4.DAT
19017	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_DODGE5.DAT
19295	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_DODGE6.DAT
19574	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_DODGE7.DAT
19855	498	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_MISSILEREFLECT.DAT
20143	500	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_MISSILEREFLECT2.DAT
20436	500	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_MISSILEREFLECT3.DAT
20728	500	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_MISSILEREFLECT4.DAT
21021	500	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_MISSILEREFLECT5.DAT
21314	500	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_MISSILEREFLECT6.DAT
21607	500	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_MISSILEREFLECT7.DAT
21902	478	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTARMOR.DAT
22178	480	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTARMOR2.DAT
22460	480	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTARMOR3.DAT
22742	480	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTARMOR4.DAT
23024	480	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTARMOR5.DAT
23306	480	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTARMOR6.DAT
23588	480	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTARMOR7.DAT
23872	482	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTDAMAGE.DAT
24157	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTDAMAGE2.DAT
24447	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTDAMAGE3.DAT
24737	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTDAMAGE4.DAT
25027	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTDAMAGE5.DAT
25317	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTDAMAGE6.DAT
