"id","item","iTRANSLATION","texteffect","countset","chislo"
"1139","ARISTOCRAT","Aristocrat","+6% Cast Speed","2","6"
"1141","ARISTOCRAT","Aristocrat","2% Mana stolen","3","2"
"1143","ARISTOCRAT","Aristocrat","+8% to Electric Damage","4","8"
"1144","ARISTOCRAT","Aristocrat","+8% to Fire Damage","4","8"
"1145","ARISTOCRAT","Aristocrat","+8% to Ice Damage","4","8"
"1146","ARISTOCRAT","Aristocrat","+8% to Poison Damage","4","8"
"1167","ASPHYX","The Asphyx"," Charge  rate increased by 30%","2","30"
"1169","ASPHYX","The Asphyx","-12 Health recovery per second","2","12"
"1171","BADLANDS","Badlands","+1% Critical Hit Chance","2","1"
"1173","BADLANDS","Badlands","10% bonus to Critical Damage","3","10"
"1175","BADLANDS","Badlands","+2% Critical Hit Chance","4","2"
"1177","BADLANDS","Badlands","40% bonus to Critical Damage","5","40"
"1179","BADLANDS","Badlands","8% faster movement speed","6","8"
"1181","BERSERKER_B25","Blood Leather","+6% Critical Hit Chance","2","6"
"1183","BERSERKER_B25","Blood Leather","+8% Critical Hit Chance","3","8"
"1185","BERSERKER_FINAL","Harbinger","+5 Mana/sec for every monster within 3 meters","2","5"
"1187","BERSERKER_FINAL","Harbinger","12% Damage bonus when dual-wielding","3","12"
"1189","BERSERKER_FINAL","Harbinger","Silence for 3 sec.","4","3"
"1191","BERSERKER_FINAL","Harbinger","+12% Attack Speed","5","12"
"1193","BERSERKER_FINAL","Harbinger","+4% Dodge chance","6","4"
"1195","BERSERKER_FINAL","Harbinger","203 Health stolen on hit","7","203"
"1197","BERSERKER_FINAL","Harbinger","+35% chance to Execute","8","35"
"1199","BERSERKER_FINAL","Harbinger","80% bonus to Critical Damage","9","80"
"1201","BERSERKER_FINAL","Harbinger","+25% Critical Hit Chance","10","25"
"1203","BERSERKER_TRINKETS_HUNTER","Hunter","+10% chance to Execute","2","10"
"1205","BERSERKER_TRINKETS_HUNTER","Hunter","+8% Critical Hit Chance","3","8"
"1207","BERSERKER_TRINKETS_SHADOW","Shadow","+4 Health/sec for every monster within 3 meters","2","4"
"1209","BERSERKER_TRINKETS_SHADOW","Shadow","+4% Dodge chance","3","4"
"1211","BERSERKER_TRINKETS_TUNDRA","Tundra","+3% to Electric Damage","2","3"
"1213","BERSERKER_TRINKETS_TUNDRA","Tundra","+3% to Ice Damage","2","3"
"1215","BERSERKER_TRINKETS_TUNDRA","Tundra","8 Health stolen on hit","3","8"
"1217","BERSERKER_U40","Bullet Fist","+12% Ranged Weapon Damage bonus","2","12"
"1219","BERSERKER_U40","Bullet Fist","+12% Melee Weapon Damage bonus","2","12"
"1221","BERSERKER_U55","Xtro`s Blades","8% Damage bonus when dual-wielding","2","8"
"1223","BERSERKER_U55","Xtro`s Blades","34 Health stolen on hit","2","34"
"1225","BERSERKER_U55","Xtro`s Blades","8% Damage bonus when dual-wielding","3","8"
"1227","BERSERKER_U55","Xtro`s Blades","34 Health stolen on hit","3","34"
"1229","BERSERKER_U55","Xtro`s Blades","8% Damage bonus when dual-wielding","4","8"
"1231","BERSERKER_U55","Xtro`s Blades","34 Health stolen on hit","4","34"
"1233","BERSERKER_U75","Bloodbath","+8% Attack Speed","2","8"
"1235","BERSERKER_U75","Bloodbath","+8% Critical Hit Chance","3","8"
"1237","BERSERKER_U75","Bloodbath","60% bonus to Critical Damage","4","60"
"1239","BLOODSTEAM","Bloodsteam","-1 to All Armor per hit","2","1"
"1241","BLOODSTEAM","Bloodsteam","+10% chance to Execute","3","10"
"1243","BLOODSTEAM","Bloodsteam","+4% Critical Hit Chance","4","4"
"1245","BLOODSTEAM","Bloodsteam","5% chance to cast Lightning from target","5","5"
"1247","BLOODSTEAM","Bloodsteam"," Charge  rate increased by 15%","6","15"
"1249","BLOODSTEAM","Bloodsteam","10% chance to Freeze for 5 sec.","7","10"
"1251","BLOODSTEAM","Bloodsteam","+12% Attack Speed","8","12"
"1253","BLOODSTEAM","Bloodsteam","5% chance to cast Fully Heal Self when you get hit","9","5"
"1255","CLOVENHOOF","Clovenhoof","+2% to Physical Armor","2","2"
"1257","CLOVENHOOF","Clovenhoof","+6% Cast Speed","3","6"
"1259","CLOVENHOOF","Clovenhoof","+25% Potion effectiveness","4","25"
"1271","DRAGONRIFT","Dragonrift","-1,5% Physical Damage Taken for each monster within 3m","2","1"
"1273","DRAGONRIFT","Dragonrift","+8% Melee Weapon Damage bonus","3","8"
"1275","DRAGONRIFT","Dragonrift","20% Health stolen","4","20"
"1277","DRAGONRIFT","Dragonrift","+131 to Physical Armor","5","131"
"1279","DRAGONRIFT","Dragonrift","+9% Attack Speed","6","9"
"1281","DRAGONRIFT","Dragonrift","+10% to Physical Armor","7","10"
"1283","DRAGONRIFT","Dragonrift","25% chance to Stun target for 2 sec.","8","25"
"1285","DRAGONRIFT","Dragonrift","-7% All Damage Taken for each monster within 3m","9","7"
"1287","DWARFKING","Dwarfking","2% chance to Block","2","2"
"1289","DWARFKING","Dwarfking","+3% Attack Speed","3","3"
"1291","DWARFKING","Dwarfking","+8% Melee Weapon Damage bonus","4","8"
"1293","DWARFKING","Dwarfking","+4% to Physical Armor","5","4"
"1295","DWARFKING","Dwarfking","30% Health stolen","6","30"
"1297","DWARFKING","Dwarfking","100% chance to Burn for 5 sec.","7","100"
"1299","EMBERMAGE_B25","Twisted Tools","+15% to Poison Damage","2","15"
"1301","EMBERMAGE_B25","Twisted Tools","+25% to Poison Damage","3","25"
"1303","EMBERMAGE_FINAL","Transcendent","+8% Wand and Staff Damage bonus","2","8"
"1305","EMBERMAGE_FINAL","Transcendent","Silence for 3 sec.","3","3"
"1307","EMBERMAGE_FINAL","Transcendent"," Charge  rate increased by 15%","4","15"
"1309","EMBERMAGE_FINAL","Transcendent","+10% Mana","5","10"
"1311","EMBERMAGE_FINAL","Transcendent","+15% Cast Speed","6","15"
"1313","EMBERMAGE_FINAL","Transcendent","20% chance to Freeze for 5 sec.","7","20"
"1315","EMBERMAGE_FINAL","Transcendent","20% chance to Shock for 5 sec.","8","20"
"1317","EMBERMAGE_FINAL","Transcendent","20% chance to Burn for 5 sec.","9","20"
"1319","EMBERMAGE_FINAL","Transcendent","+20% to All Damage","10","20"
"1321","EMBERMAGE_TRINKETS_FROST","Frost","+6% to Ice Damage","2","6"
"1323","EMBERMAGE_TRINKETS_FROST","Frost","+2 Mana/sec for every monster within 3 meters","3","2"
"1325","EMBERMAGE_TRINKETS_INFERNO","Inferno","+6% to Fire Damage","2","6"
"1327","EMBERMAGE_TRINKETS_INFERNO","Inferno","+15% Cast Speed","3","15"
"1329","EMBERMAGE_TRINKETS_STORM","Storm","+6% to Electric Damage","2","6"
"1331","EMBERMAGE_TRINKETS_STORM","Storm"," Charge  rate increased by 20%","3","20"
"1333","EMBERMAGE_U40","Shock Shards","+18 Focus Attribute bonus","2","18"
"1335","EMBERMAGE_U40","Shock Shards","+29 Focus Attribute bonus","3","29"
"1337","EMBERMAGE_U40","Shock Shards","+15% chance to Execute","3","15"
"1339","EMBERMAGE_U55","The Gray","+101 Fire Armor","2","101"
"1341","EMBERMAGE_U55","The Gray","+20% to Fire Damage","3","20"
"1343","EMBERMAGE_U75","Winter`s Reach","9 Mana stolen on hit","2","9"
"1345","EMBERMAGE_U75","Winter`s Reach","+6% Cast Speed","2","6"
"1347","EMBERMAGE_U75","Winter`s Reach","14 Mana stolen on hit","3","14"
"1349","EMBERMAGE_U75","Winter`s Reach","+9% Cast Speed","3","9"
"1351","EMBERMAGE_U75","Winter`s Reach","+15% to Ice Damage","4","15"
"1353","EMBERMAGE_U75","Winter`s Reach","+30 Knockback","4","30"
"1355","ENGINEER_B15","Ole`s Tools","+30% Damage to secondary targets","2","30"
"1357","ENGINEER_B25","Grundig`s Bastion","-4,5% Physical Damage Taken for each monster within 3m","2","4"
"1359","ENGINEER_B25","Grundig`s Bastion","+10% to All Damage","3","10"
"1361","ENGINEER_FINAL","Mondon’s Vestment","+5% Attack Speed","2","5"
"1363","ENGINEER_FINAL","Mondon’s Vestment","87 Health stolen on hit","3","87"
"1365","ENGINEER_FINAL","Mondon’s Vestment","231 Physical Damage Reflected","4","231"
"1367","ENGINEER_FINAL","Mondon’s Vestment","-235 to All Armor per hit","5","235"
"1369","ENGINEER_FINAL","Mondon’s Vestment","-7,5% Physical Damage Taken for each monster within 3m","6","7"
"1371","ENGINEER_FINAL","Mondon’s Vestment"," Charge  rate increased by 25%","7","25"
"1373","ENGINEER_FINAL","Mondon’s Vestment","+15% to Physical Armor","8","15"
"1375","ENGINEER_FINAL","Mondon’s Vestment","+100% Damage to secondary targets","9","100"
"1377","ENGINEER_FINAL","Mondon’s Vestment","20% chance to Stun target for 5 sec.","10","20"
"1379","ENGINEER_TRINKETS_AEGIS","Aegis","+4% to Physical Armor","2","4"
"1381","ENGINEER_TRINKETS_AEGIS","Aegis","-7,5% Physical Damage Taken for each monster within 3m","3","7"
"1383","ENGINEER_TRINKETS_BLITZ","Blitz","+8% Melee Weapon Damage bonus","2","8"
"1385","ENGINEER_TRINKETS_BLITZ","Blitz","+10% to Fire Damage","3","10"
"1387","ENGINEER_TRINKETS_BLITZ","Blitz","+10% to Electric Damage","3","10"
"1389","ENGINEER_TRINKETS_CONSTRUCTION","Construction","+15% pet and minion Damage","2","15"
"1391","ENGINEER_TRINKETS_CONSTRUCTION","Construction","+15% Cast Speed","3","15"
"1393","ENGINEER_U40","Magma-Fused Iron","10% chance to Stun target for 5 sec.","2","10"
"1395","ENGINEER_U55","Bolt and Nuts","40% bonus to Critical Damage","2","40"
"1397","ENGINEER_U55","Bolt and Nuts","60% bonus to Critical Damage","3","60"
"1399","ENGINEER_U75","The Grand Design","+5% Attack Speed","2","5"
"1401","ENGINEER_U75","The Grand Design","6% chance to Stun target for 5 sec.","3","6"
"1403","ENGINEER_U75","The Grand Design","+8% Critical Hit Chance","4","8"
"1405","ESTHERIA","Estheria","+3% Cast Speed","2","3"
"1407","ESTHERIA","Estheria","+4% Mana","3","4"
"1409","ESTHERIA","Estheria","+6% to All Damage","4","6"
"1429","EXORCIST","Exorcist","6% chance to reflect missiles at 50% weapon DPS","2","6"
"1431","EXORCIST","Exorcist","+3% Cast Speed","3","3"
"1433","EXORCIST","Exorcist","+4% Critical Hit Chance","4","4"
"1435","EXORCIST","Exorcist","+6% to All Damage","5","6"
"1437","EXORCIST","Exorcist","3% Mana stolen","6","3"
"1439","EXORCIST","Exorcist","100% chance to Shock for 5 sec.","7","100"
"1441","EYES","The Eyes","+2% to Physical Armor","2","2"
"1443","EYES","The Eyes","+2% Critical Hit Chance","3","2"
"1445","EYES","The Eyes","+9% to All Damage","4","9"
"1447","EYES","The Eyes","+6% Mana","5","6"
"1449","EYES","The Eyes","+3% Critical Hit Chance","6","3"
"1451","EYES","The Eyes","40% bonus to Critical Damage","7","40"
"1453","EYES","The Eyes","25% chance to reflect missiles at 50% weapon DPS","8","25"
"1455","EZROHIR","Ezrohir","+3% to All Damage","2","3"
"1457","EZROHIR","Ezrohir","+4% Melee Weapon Damage bonus","3","4"
"1459","EZROHIR","Ezrohir","12% chance to reflect missiles at 50% weapon DPS","4","12"
"1461","EZROHIR","Ezrohir","+2% Critical Hit Chance","5","2"
"1463","EZROHIR","Ezrohir","+6% Health","6","6"
"1465","EZROHIR","Ezrohir","+20% to Physical Armor","7","20"
"1467","GHASTLY","Haunt","All Damage Taken is reduced by -10%","3","10"
"1469","GRANITE","Ironlord","+3% to All Damage","2","3"
"1471","GRANITE","Ironlord","10% Health stolen","3","10"
"1473","GRANITE","Ironlord","+6% to All Damage","4","6"
"1475","GRANITE","Ironlord","+6% Critical Hit Chance","5","6"
"1477","GRANITE","Ironlord","+12% Attack Speed","6","12"
"1479","GRELLS","Grell`s Arsenal","+4% Health","2","4"
"1481","GRELLS","Grell`s Arsenal","+4% Mana","3","4"
"1483","GRELLS","Grell`s Arsenal","6% increase in magic-finding Luck","4","6"
"1485","HIGHRIDGE","Highridge","+37 to Physical Armor","2","37"
"1487","HIGHRIDGE","Highridge","+4% Melee Weapon Damage bonus","3","4"
"1489","HIGHRIDGE","Highridge","+61 to Physical Armor","4","61"
"1491","HIGHRIDGE","Highridge","+8% Melee Weapon Damage bonus","5","8"
